Light,Strain,Ev,Acc,Rep,ExptDay,CellspmL,FSC,RedF,Chl.volextr,ChlReading,ChlperCell,Fm,Fv.Fm,P.est,a.est,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I
100,1391,24,18,F,7,83798,10567.69729,4996.491157,4.5,3.63,0.216593054,4286,0.343,111.6331993,9.59E-01,125.7333807,2.970915395,1.16E-08,1.014250397,0.039435188,2.28E-07,123.9668045,10.12056157
100,2951,24,18,A,7,598815,8561.829965,3404.443178,4.5,15.99,0.133513767,29694,0.506,130.3643945,1.65E+00,131.1698796,2.00699962,8.63E-10,2.24829305,0.106584767,7.40E-07,58.34198511,22.26531187
100,2951,24,18,B,7,425345,8619.100587,3765.88481,4.5,9.74,0.114495404,23102,0.533,137.0417956,1.52E+00,140.0701998,3.258707795,1.06E-08,1.953741602,0.119465358,3.33E-06,71.6933087,19.41169084
100,2951,24,18,C,7,245965,8183.018754,3636.214479,4.5,5.38,0.10936505,11035,0.518,137.4109419,1.65E+00,139.8248857,3.004799294,6.60E-09,2.126341751,0.128699541,3.13E-06,65.75842556,21.10100834
100,2951,24,18,D,7,311325,8236.553229,4390.044622,4.5,8.21,0.131855731,17605,0.509,128.9823194,1.41E+00,133.3852572,3.648818518,2.80E-08,1.721862338,0.116344288,5.98E-06,77.4656918,17.1236125
100,2951,24,18,E,7,276668,8250.455526,3724.437519,4.5,6.27,0.113312534,11905,0.506,134.0783547,1.70E+00,135.8070918,3.269341277,1.30E-08,2.259128797,0.164543603,9.28E-06,60.11480706,22.38518855
100,2951,24,18,F,7,308348,8419.104856,3771.575649,4.5,8.18,0.132642509,13810,0.499,157.6061484,1.79E+00,160.8727812,2.545051498,1.05E-09,2.274805901,0.095629558,3.62E-07,70.71934404,22.59764535
100,1391,24,24,A,7,460585,9227.76103,10274.1255,4.5,22.12,0.240129442,59626,0.512,73.59581817,8.89E-01,76.01068313,3.938583224,1.25E-06,1.01383034,0.133207971,0.000268036,74.97377037,10.07860729
100,1391,24,24,B,7,476795,9010.06501,8153.18428,4.5,20.21,0.211935763,42661,0.532,58.75201641,7.66E-01,58.80190701,2.580654284,4.68E-07,1.033474471,0.143348444,0.000360703,56.89729999,10.22963019
100,1391,24,24,C,7,412473,9338.29959,8622.05001,4.5,19.15,0.232136368,37751,0.513,69.96986488,8.41E-01,71.92948316,3.497552958,8.60E-07,0.992402852,0.125725195,0.000219167,72.4801254,9.861535011
